Contest,Problem,Category,思考したこと,解法
ABC283,E,DP,操作すべきところだけ着目してどうすべきか考えてた,操作順によらないから先頭行からDPする
ABC281,F,再帰,最大値の最小化ってことで二分探索でできないか考えてた,最小値を上の桁から決めていく
